Player,Nation,Pos,Age,MP,Min,Gls,Ast,G+A,PK
Mikaël Silvestre,fr FRA,DF,24.0,34,2921,1.0,6.0,7.0,0.0
Ruud van Nistelrooy,nl NED,FW,26.0,34,2894,25.0,4.0,29.0,9.0
Ryan Giggs,wls WAL,"FW,MF",28.0,36,2848,8.0,10.0,18.0,0.0
Paul Scholes,eng ENG,MF,27.0,33,2737,14.0,3.0,17.0,0.0
Fabien Barthez,fr FRA,GK,31.0,30,2541,0.0,0.0,0.0,0.0
Ole Gunnar Solskjær,no NOR,FW,29.0,37,2601,9.0,6.0,15.0,0.0
David Beckham,eng ENG,MF,27.0,31,2516,6.0,8.0,14.0,0.0
Rio Ferdinand,eng ENG,DF,23.0,28,2437,0.0,1.0,1.0,0.0
John O'Shea,ie IRL,"DF,MF",21.0,32,2287,0.0,0.0,0.0,0.0
Wes Brown,eng ENG,DF,22.0,22,1849,0.0,1.0,1.0,0.0
Juan Sebastián Verón,ar ARG,MF,27.0,25,1762,3.0,3.0,6.0,0.0
Gary Neville,eng ENG,DF,27.0,26,1823,0.0,4.0,4.0,0.0
Roy Keane,ie IRL,MF,30.0,21,1763,0.0,1.0,1.0,0.0
Phil Neville,eng ENG,"DF,MF",25.0,25,1668,1.0,1.0,2.0,0.0
Laurent Blanc,fr FRA,"DF,MF",36.0,19,1422,0.0,0.0,0.0,0.0
Nicky Butt,eng ENG,"DF,MF",27.0,18,1218,0.0,1.0,1.0,0.0
Roy Carroll,nir NIR,GK,24.0,10,834,0.0,0.0,0.0,0.0
Diego Forlán,uy URU,"FW,MF",23.0,25,834,6.0,2.0,8.0,0.0
Quinton Fortune,za RSA,MF,25.0,9,506,0.0,1.0,1.0,0.0
Ricardo,es ESP,GK,30.0,1,45,0.0,0.0,0.0,0.0
Kieran Richardson,eng ENG,"DF,MF",17.0,2,41,0.0,0.0,0.0,0.0
Luke Chadwick,eng ENG,MF,21.0,1,27,0.0,0.0,0.0,0.0
Lee Roche,eng ENG,DF,21.0,1,21,0.0,0.0,0.0,0.0
Danny Pugh,eng ENG,"DF,MF",19.0,1,5,0.0,0.0,0.0,0.0
David May,eng ENG,DF,32.0,1,1,0.0,0.0,0.0,0.0
Michael Stewart,sct SCO,MF,21.0,1,1,0.0,0.0,0.0,0.0
Squad Total,,,27.0,38,3420,73.0,56.0,129.0,9.0
Opponent Total,,,27.0,38,3420,,,,
